subject,label_original,label_binary,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_median,bvp_range,bvp_q25,bvp_q75,bvp_skew,bvp_kurtosis,bvp_energy,eda_mean,eda_std,eda_min,eda_max,eda_median,eda_range,eda_q25,eda_q75,eda_skew,eda_kurtosis,eda_energy,temp_mean,temp_std,temp_min,temp_max,temp_median,temp_range,temp_q25,temp_q75,temp_skew,temp_kurtosis,temp_energy,acc_mean,acc_std,acc_min,acc_max,acc_median,acc_range,acc_q25,acc_q75,acc_skew,acc_kurtosis,acc_energy
S2,1,0,0.014078264,1.5506546,-6.219611,7.8707085,0.017337622,14.09032,-0.5957735,0.63394153,0.19869287,3.935182,2.4047282,3.1526062,0.4444962,1.4657276,3.9526613,3.24628,2.4869337,2.8405466,3.4447672,-0.6421134,0.5640514,10.136504,1.3690126,0.011426507,1.3422261,1.3900577,1.3613595,0.047831535,1.3613595,1.3804928,0.15488355,-0.77254725,1.8743263,-0.002475828,1.3336914,-6.8312,8.26272,-0.1605228,15.09392,-0.31235456,0.26848614,1.1244136,6.362939,1.7787387
S2,1,0,0.026997017,1.6492915,-5.170333,7.3119993,-0.02549811,12.482332,-0.8023076,0.76706177,0.41865453,1.7341757,2.7208912,2.6969678,0.40482864,1.960001,3.3571997,2.691681,1.3971987,2.3404355,3.049738,-0.15460204,-1.1418433,7.4375215,1.3706071,0.014919309,1.3422261,1.4187559,1.3613595,0.07652974,1.3613595,1.3804928,0.74060327,1.7312732,1.8787862,0.1279671,1.7305809,-7.424559,13.616532,-0.089269094,21.041092,-0.5866254,0.745218,1.3589029,8.7457905,3.011286
S2,1,0,-0.012273534,1.704886,-5.170333,7.3119993,5.6259596e-06,12.482332,-0.8302826,0.7282131,0.36333007,1.4508257,2.9067867,2.484923,0.2843744,1.960001,3.1742785,2.502923,1.2142775,2.228544,2.6848717,0.16229858,-0.5089028,6.255711,1.3537061,0.026419446,1.3039594,1.4187559,1.3613595,0.11479652,1.3422261,1.3804928,0.05765008,-0.34462023,1.8332179,0.13925056,1.5285186,-7.424559,13.616532,0.0017921012,21.041092,-0.4129638,0.5361856,1.8971572,14.205643,2.3557596
S2,1,0,-0.026698602,1.1134983,-4.5496764,4.739219,0.054571755,9.288896,-0.34758985,0.3275672,-0.24140227,4.4601607,1.2405912,2.3472137,0.24209017,1.8899463,2.8084385,2.3219485,0.9184922,2.1837854,2.525302,0.037578456,-0.9043703,5.568021,1.3135259,0.026024206,1.2656926,1.3613595,1.3039594,0.095666885,1.3039594,1.3422261,-0.07946645,-0.64426637,1.726028,-0.042880256,0.44468156,-2.8180845,2.5641356,-0.036917448,5.3822203,-0.19629243,0.0688515,0.704093,9.019349,0.19958039
S2,1,0,0.011733627,0.66190046,-4.5496764,2.766403,0.06649986,7.316079,-0.27704272,0.26239097,-0.97328764,9.957214,0.43824992,1.8931239,0.33171803,1.3369935,2.4503834,1.8880008,1.11339,1.6767882,2.1993537,-0.063541435,-1.1870117,3.693955,1.271433,0.027792182,1.217861,1.3230927,1.2656926,0.10523164,1.2369944,1.3039594,-0.032899547,-1.085467,1.6173145,-0.05630113,0.57782876,-6.346212,3.9811776,-0.09265318,10.32739,-0.1656266,0.035363697,-1.2424903,25.292538,0.33705586
S2,1,0,-0.0046070395,0.68416566,-3.8125064,2.766403,0.05885533,6.5789094,-0.29895484,0.2779436,-0.65887064,5.897873,0.46810386,1.4309056,0.22091669,1.1112628,1.8860554,1.3681267,0.77479255,1.259154,1.6708,0.54919916,-1.010453,2.0962949,1.2510245,0.018105768,1.217861,1.284826,1.2656926,0.066964984,1.2369944,1.2656926,-0.302375,-1.1219462,1.5653901,-0.012079074,0.6439359,-6.346212,3.9811776,-0.013342328,10.32739,-0.1656266,0.13558225,-0.9840529,16.76797,0.41479936
S2,1,0,-0.0070903436,0.51413643,-3.8125064,1.9158832,0.053517338,5.7283897,-0.20633079,0.23207644,-1.791178,12.331843,0.26438653,1.1266345,0.15109284,0.8738533,1.3720206,1.1346128,0.49816728,0.9935316,1.259154,-0.061099853,-1.2104269,1.2921346,1.259953,0.020754075,1.217861,1.3039594,1.2656926,0.08609831,1.2369944,1.2656926,-0.50057954,-0.10630512,1.5879124,-0.00192222,0.342856,-2.0712874,2.4663405,-0.03186247,4.537628,-0.11806392,0.08723538,0.473595,13.111649,0.117553934
S2,1,0,0.00479376,0.55257934,-2.6013753,2.5585508,0.04705903,5.1599264,-0.23898481,0.22107096,0.23924819,5.9521875,0.3053669,0.932655,0.09972715,0.7532048,1.1423962,0.9225035,0.3891914,0.8641253,0.9954778,0.30444682,-0.6850846,0.87979084,1.2771728,0.018384984,1.217861,1.3039594,1.284826,0.08609831,1.2656926,1.284826,-1.102234,2.0365238,1.6315082,-0.0024265042,0.28795958,-1.6579727,1.583278,-0.03186247,3.2412505,-0.11806392,0.1039256,0.20248213,7.0084486,0.08292661
S2,1,0,-0.00033012131,0.54886097,-2.6013753,2.5585508,0.047059026,5.1599264,-0.24125838,0.20265159,0.26667467,6.194271,0.30124846,0.75421053,0.12946646,0.54304075,0.99839604,0.7532048,0.4553553,0.6393675,0.8602329,0.06701374,-1.2050399,0.5855952,1.3052349,0.022056453,1.2656926,1.3422261,1.3039594,0.076533556,1.284826,1.3230927,0.39206094,-0.9966922,1.7041247,0.010909094,0.254816,-1.6579727,1.3176125,0.03368711,2.9755852,-0.07573926,0.057140615,0.15082261,8.917837,0.065050215
S2,1,0,-0.023926707,0.4435035,-3.6389227,1.4133213,0.043434463,5.052244,-0.2177317,0.17856473,-2.611806,16.487976,0.19726783,0.55166876,0.103495285,0.36790425,0.7532048,0.5410954,0.38530058,0.46131042,0.6374205,0.25147146,-1.1477107,0.31504965,1.3396748,0.022494707,1.3039594,1.3804928,1.3422261,0.07653344,1.3230927,1.3613595,0.013511793,-0.6635194,1.795235,0.019891707,0.5154891,-3.568368,7.0387692,0.057140615,10.607138,-0.07573926,0.057140615,4.139753,60.345276,0.26612476
S2,1,0,-0.02384419,1.2501642,-5.2743254,4.7882495,0.03730566,10.062574,-0.29180455,0.3450969,-0.7697249,4.7120028,1.5634791,0.39621887,0.08351028,0.25114655,0.53914994,0.41071644,0.28800339,0.31244588,0.47298625,-0.025521839,-1.4407704,0.16396338,1.3690126,0.019821921,1.3422261,1.4187559,1.3804928,0.07652974,1.3422261,1.3804928,0.0880155,-0.5735786,1.874588,0.059304107,1.1966398,-5.776698,9.389755,0.057140615,15.166453,-0.1605228,0.19204769,1.6232623,12.222913,1.4354637
S2,1,0,0.021943776,1.5929123,-8.833382,4.7882495,0.045675106,13.621632,-0.47906262,0.6184877,-0.79080945,3.8289685,2.5378518,0.33375353,0.056119975,0.25114655,0.535259,0.32120115,0.28411245,0.29784966,0.3328769,1.6820595,2.5343642,0.11454082,1.3913338,0.019406483,1.3422261,1.4378893,1.3900577,0.09566319,1.3804928,1.3900577,0.29752415,0.4935305,1.9361858,0.13857117,1.4286253,-5.776698,10.0827265,0.008513091,15.859425,-0.2005573,0.21688493,1.8708528,10.812245,2.0601723
S2,1,0,0.023609765,1.1834514,-8.833382,4.0031037,0.009956695,12.836485,-0.4277256,0.40743935,-1.0616099,10.426857,1.4011147,0.34306177,0.04083491,0.26671627,0.535259,0.32898608,0.26854274,0.32120115,0.3562286,1.578664,4.0563993,0.11935886,1.3954788,0.01687587,1.3613595,1.4378893,1.3900577,0.07652986,1.3900577,1.4187559,0.7092476,-0.13925028,1.9476457,0.09963878,0.99788207,-4.565816,10.0827265,0.008513091,14.648542,-0.13842782,0.13724664,3.5379333,29.691387,1.0056967
S2,1,0,0.0007488698,0.59808016,-2.852854,2.4109323,0.015558293,5.2637863,-0.26435673,0.24107195,-0.213629,4.0521126,0.3577004,0.34612474,0.051897407,0.23168892,0.4494251,0.34649968,0.21773618,0.31341937,0.3871553,-0.08705563,-0.6627674,0.12249569,1.3731576,0.022048602,1.3230927,1.4187559,1.3804928,0.09566319,1.3613595,1.3900577,-0.0734297,-0.2477746,1.886048,0.0016748753,0.40939295,-3.806374,2.931566,-0.016707297,6.73794,-0.10619929,0.10225796,-0.6368287,17.275164,0.16760539
S2,1,0,0.0005684669,0.4271934,-2.4101303,1.8337704,0.043829873,4.243901,-0.20504573,0.19352429,-0.4088905,5.7555714,0.1824945,0.3468307,0.050991327,0.23168892,0.4494251,0.35018253,0.21773618,0.3122887,0.38326448,-0.18643287,-0.5629444,0.12289165,1.3479661,0.014943634,1.3230927,1.3804928,1.3422261,0.057400107,1.3422261,1.3613595,0.26027575,-0.2757268,1.817236,-0.00880901,0.32048652,-1.9469223,2.133042,-0.0040914086,4.0799646,-0.11552097,0.10225796,-0.047694817,14.949886,0.10278919
S2,1,0,-0.0025075362,0.31440926,-1.5872889,1.8337704,0.05364914,3.4210591,-0.20293689,0.16347337,0.16244316,5.843479,0.09885947,0.30111128,0.05685139,0.19645202,0.3871553,0.30931583,0.19070327,0.25093699,0.35212794,-0.27711064,-1.1971159,0.09390009,1.3377616,0.010691151,1.3230927,1.3613595,1.3422261,0.038266778,1.3230927,1.3422261,-0.011889356,-0.33519316,1.7897205,-0.022653135,0.23881263,-1.9469223,2.0179164,-0.05378256,3.9648387,-0.14012556,0.043743376,0.28236076,23.750317,0.057544637
S2,1,0,-0.0010478273,0.21743383,-0.51903164,1.0173873,0.057405505,1.5364189,-0.18758193,0.15625721,-8.7167406e-05,0.31044126,0.047278564,0.19405104,0.06681606,0.08747612,0.30931583,0.19450508,0.22183971,0.13807318,0.25093699,0.008355127,-1.1991787,0.042120196,1.3441393,0.01427543,1.3230927,1.3804928,1.3422261,0.057400107,1.3422261,1.3613595,0.31783676,-0.15898061,1.8069148,-0.0276932,0.13888001,-0.8609977,1.3970459,-0.05378256,2.2580435,-0.10281194,0.043743376,1.3417996,18.881508,0.02005457
